id,created_at,text,likes,in reply to,retweeted
1399357496842764289,2021-05-31 13:30:00,&gt;@estadaopme Como princípios de gestão controversos fizeram da Netflix um sucesso; veja 6 lições https://t.co/zURRNM8h8h,7,,False
1399354978586746884,2021-05-31 13:20:00,"&gt;@Mar_Sem_Fim Lei federal para plástico, ainda longe no Brasil https://t.co/YJ4nZhGMOy",19,,False
1399352462398664704,2021-05-31 13:10:00,&gt;@EInvestidor 'É um pacote de maldades': o que dizem analistas sobre o combo tributário de Guedes para investimentos https://t.co/IL3Mm7a2RV,33,,False
1399349945094721536,2021-05-31 13:00:00,&gt;@EstadaoEconomia Biden quer ajudar a classe média com imposto dos ricos https://t.co/YrIltavAul,105,,False
1399347428663259141,2021-05-31 12:50:00,"&gt;@EstadaoEdu Ensino chinês chega ao Brasil com mandarim, inglês e até 10 horas de aulas https://t.co/EymjM1zbV6",87,,False
1399344912043216898,2021-05-31 12:40:00,"&gt;@EstadaoCultura 'Mare of Easttown' terminou com reviravolta, mas não foi única razão pela qual foi um sucesso https://t.co/YhXXXVejPo",40,,False
1399342396526190593,2021-05-31 12:30:00,"@EstadaoEconomia Tire suas dúvidas sobre o Imposto de Renda 2021: Preciso declarar valor depositado em poupança?
https://t.co/y9HaxEkXDw",5,Estadao,False
1399340907804176384,2021-05-31 12:24:05,&gt;@EstadaoCultura Show nos EUA oferece ingresso com desconto de US$ 980 para fãs vacinados com duas doses https://t.co/lgXZNNsrWg,54,,False
1399337362484875264,2021-05-31 12:10:00,&gt;@EInvestidor Marco Saravalle: 'ESG e a importância em ter na carteira empresas que seguem o princípio' https://t.co/oIwe18FeRT,14,,False
1399334849790492673,2021-05-31 12:00:01,https://t.co/HytICNQwUe,79,Estadao,False
1399332328955158535,2021-05-31 11:50:00,"&gt;@Emais_Estadao Jhean Marcell, do Br'oz, respira sem aparelhos, mas permanece internado por causa da covid-19… https://t.co/D73NTityqa",56,,False
1399329812531998726,2021-05-31 11:40:00,"&gt;@soracy: ‘No combate à covid, CFM deve seguir a ciência’, diz infectologista Esper Kallas https://t.co/l9LqxgP4vD https://t.co/MZujFuJgub",71,,False
1399327298227146753,2021-05-31 11:30:00,"Em nova mudança de política, China anuncia que casais agora poderão ter até três filhos https://t.co/9WkuvMp1dQ -via @EstadaoInter",73,,False
1399324779325308937,2021-05-31 11:20:00,"Amazon estende proibição do uso policial para seu sistema de reconhecimento facial
https://t.co/0IfthPPpvI -via… https://t.co/saN8bhbXA1",29,,False
1399322262889664513,2021-05-31 11:10:00,"Aclamado pela crítica francesa, 'Alice e o Prefeito' chega ao Brasil https://t.co/HvQgjlmqH1 -via @EstadaoCultura",28,,False
1399319749134151686,2021-05-31 11:00:00,"Conheça Serrana, a primeira cidade com vacinação em massa contra covid no Brasil https://t.co/MW6EgDVA3t https://t.co/79DIePgSmc",404,Estadao,False
1399319149663371265,2021-05-31 10:57:38,RT @Estadao: Filho de Whindersson Nunes nasce prematuro: 'Que seja forte como a mãe e insistente como o pai': https://t.co/MjXb8ZbL0Y,0,,False
1399317229871763458,2021-05-31 10:50:00,EUA viram foco do turismo da vacina latino https://t.co/TqmnMGyWm1 -via @EstadaoInter,86,,False
1399314712987197444,2021-05-31 10:40:00,Nova ‘janela’ para o lançamento de ações deve movimentar até R$ 30 bilhões na Bolsa https://t.co/Tbng5v2POp -via @EstadaoEconomia,25,,False
1399313731583201282,2021-05-31 10:36:06,"RT @Estadao: &gt;@EstadaoInter EUA espionaram Merkel e outros políticos europeus com ajuda de dinamarqueses, diz imprensa https://t.co/eaQuOUO…",0,,False
1399312197273014276,2021-05-31 10:30:00,Rio começa hoje a vacinar população geral contra a covid-19 https://t.co/Uay34prKOk,142,,False
1399309680237760513,2021-05-31 10:20:00,"Instituto Serum, da Índia, aumentará produção da vacina da AstraZeneca em junho https://t.co/2A1GKBCel9 -via @EstadaoInter",65,,False
1399307163386929152,2021-05-31 10:10:00,ÚLTIMO DIA: Contribuinte tem até as 23h59 para entregar o Imposto de Renda; tire suas dúvidas https://t.co/XmEGKVAzBT -via @EstadaoEconomia,29,,False
1399304649442693123,2021-05-31 10:00:00,"#Tratoraço: Esquema do orçamento secreto de Bolsonaro pode configurar crime de responsabilidade, avaliam juristas… https://t.co/XXJujucHz5",1920,,False
1399301949934247936,2021-05-31 09:49:17,RT @Estadao: Mortes por covid caem 95% em Serrana após vacinação em massa com Coronavac https://t.co/wDHIZ3Fuwx,0,,False
1399299080791248897,2021-05-31 09:37:53,"""Ora, isso significa que, ao menos até o momento, é possível outra interpretação a respeito do momento de dar ciênc… https://t.co/Lt5kZjy0A5",34,Estadao,False
1399299079021207552,2021-05-31 09:37:52,"""Por ironia, o próprio pedido explicita que o ministro Alexandre de Moraes não atuou contra a lei. Segundo a PGR al… https://t.co/oVrq9REpUO",49,Estadao,False
1399298914738651138,2021-05-31 09:37:13,"""Em vez de contribuir para esclarecer os fatos investigados, Augusto Aras decidiu que a prioridade era mudar o rela… https://t.co/TDZnD1pDbJ",30,Estadao,False
1399298913098735618,2021-05-31 09:37:13,"""De toda forma, após tomar ciência da investigação, Augusto Aras poderia refletir sobre qual a função que lhe corre… https://t.co/WH6rsxCofH",26,Estadao,False
1399298911567855616,2021-05-31 09:37:12,"""Ficou claro que o ministro considerou que as diligências poderiam ser mais efetivas se Aras não tivesse conhecimento delas.""",23,Estadao,False
1399298909571366912,2021-05-31 09:37:12,"""No despacho que deflagrou a Operação Akuanduba, o ministro Alexandre de Moraes determinou que fosse dada ciência d… https://t.co/Er3ZGq0Sqt",31,Estadao,False
1399298907776196614,2021-05-31 09:37:11,"""É constrangedor o fato de que os atos de Augusto Aras, no âmbito do inquérito, atendam sempre aos interesses de Ri… https://t.co/9QjGWwTzuj",32,Estadao,False
1399298906010292224,2021-05-31 09:37:11,"""O inquérito envolvendo o ministro do Meio Ambiente não apenas constrange Ricardo Salles como tem sido ocasião de r… https://t.co/A8NuYIbM3v",50,Estadao,False
1399298318002536448,2021-05-31 09:34:51,"EDITORIAL: O papel da PGR não é defender autoridades, tampouco proteger interesses do Executivo. É defender a lei,… https://t.co/VoHh4TTFSt",392,,False
1399296567270678529,2021-05-31 09:27:53,"RT @Estadao: Bráulio Bessa, de 'Encontro com Fátima Bernardes', recebe alta após internação por covid-19: https://t.co/erWNAtaWfw",0,,False
1399294077020082183,2021-05-31 09:18:00,CAPA: Projeções econômicas animam novas ofertas de ações na Bolsa https://t.co/Tbng5vkrcZ https://t.co/wIXnnL1cmj,45,,False
1399289549679890433,2021-05-31 09:00:00,Covid e isolamento criam alerta sobre depressão infantil https://t.co/EdjGwsqnmN,88,,False
1399274456158113797,2021-05-31 08:00:02,Lourival Sant'Anna: 'Militares profissionais em democracias sólidas veem a prática como um risco' https://t.co/l3xj5YnPdt,52,,False
1399259350569340931,2021-05-31 07:00:00,&gt;@EstadaoInter Criminosos mexicanos detêm líder do partido de Andrés Manuel López Obrador https://t.co/LivHyDIGH4,18,,False
1399244250097885185,2021-05-31 06:00:00,"Gustavo Franco: 'Nosso Brasil também é excepcional, mas do seu jeito; o que temos em comum com os EUA é o gosto por… https://t.co/RK3iIVIIJI",28,,False
1399236699675365377,2021-05-31 05:30:00,"&gt;@EstadaoEsporte Após nova frustração, Diniz assume culpa e prega trabalho para recuperar o Santos https://t.co/WNmEniKi7T",22,,False
1399229151039692801,2021-05-31 05:00:00,@EstadaoEconomia Alojamento vai de pousadas a mansões https://t.co/nGsy3cPIY5,14,Estadao,False
1399221599925149698,2021-05-31 04:30:00,&gt;@EstadaoInter Violência eleitoral explode no México https://t.co/Ix3ozjT2uu,20,,False
1399214050777735170,2021-05-31 04:00:00,"&gt;@EstadaoEsporte Com lesão de Thiago Silva, Rodrigo Caio é convocado para jogos da seleção nas Eliminatórias https://t.co/dIt44WOySV",37,,False
1399206500615168000,2021-05-31 03:30:00,&gt;@EstadaoPolitica Governo de Pernambuco vai indenizar feridos na manifestação contra Bolsonaro https://t.co/PIiKS4w5OW,399,,False
1399198953829187584,2021-05-31 03:00:01,"@recafardo: 'Ao cooperar umas com as outras, as cidades evitam desigualdades na educação' https://t.co/4v78vZ9bpX",0,recafardo,False
1399195175478390788,2021-05-31 02:45:00,&gt;@EstadaoEsporte Conmebol anuncia suspensão da Copa América na Argentina; torneio fica sem sede https://t.co/wT1muFUJRV,67,,False
1399191401171144709,2021-05-31 02:30:00,"&gt;@EstadaoInter EUA espionaram Merkel e outros políticos europeus com ajuda de dinamarqueses, diz imprensa https://t.co/eaQuOUODtC",196,,False
1399187625479704577,2021-05-31 02:15:00,&gt;@TheEconomist A verdade por trás da pandemia https://t.co/7NM2aOaMEH,25,,False
1399183855303680001,2021-05-31 02:00:01,&gt;@EstadaoCultura 'Alvorada' acompanha rotina de Dilma no Palácio após aprovação de impeachment em 2016 https://t.co/lnbCR39BFh,55,,False
1399180075728138247,2021-05-31 01:45:00,Como a literatura usou e usa o circo como cenário https://t.co/yntXGaX5z9,66,,False
1399176301332754434,2021-05-31 01:30:00,José Roberto Mendonça de Barros: 'Otimismo com avanços parece um pouco prematuro e algo exagerado' https://t.co/BYEeVpPFhQ,37,,False
1399172526060752898,2021-05-31 01:15:00,Mortes por covid caem 95% em Serrana após vacinação em massa com Coronavac https://t.co/wDHIZ3Fuwx,6917,,False
1399168752676114440,2021-05-31 01:00:00,@EstadaoInter CENÁRIO: Vazamento em laboratório de Wuhan passa a ser uma hipótese viável https://t.co/NWQMPIDY5o,85,Estadao,False
1399164976397307907,2021-05-31 00:45:00,&gt;@EstadaoEsporte Corinthians perde para o Atlético-GO na estreia de Sylvinho https://t.co/2s87RC3Twf,31,,False
1399161202459123714,2021-05-31 00:30:00,"Brasil tem 21,36% da população vacinada com a primeira dose contra a covid-19 https://t.co/6ULnatMVZi",191,,False
1399157426449010689,2021-05-31 00:15:00,&gt;@EstadaoEconomia XP e Messem Investimentos anunciam acordo para criação de nova corretora https://t.co/I1zgsKOp05,31,,False
1399153654213582871,2021-05-31 00:00:00,"@EstadaoPolitica CPI gera 11,8 milhões de publicações no Twitter https://t.co/XAAeUEF8w1",76,Estadao,False
1399149876684812291,2021-05-30 23:45:00,Média móvel de mortes por covid tem terceira alta seguida e chega a 1.844 https://t.co/d3p4Yyrftf,124,,False
1399146103136669706,2021-05-30 23:30:00,"&gt;@EstadaoEsporte Na estreia do Brasileirão, Flamengo supera Palmeiras no Maracanã e aumenta tabu https://t.co/sSBmuZ9jup",47,,False
1399142327017345028,2021-05-30 23:15:00,"&gt;@EstadaoInter Enquanto a covid se move pelo Nepal, trabalhadores pagam o preço https://t.co/Z3pShY1BT1",49,,False
1399138555155337231,2021-05-30 23:00:00,&gt;@EstadaoCultura Polanski revisita infância durante o Holocausto em documentário https://t.co/mdUpvl7pnU,23,,False
1399134777769226246,2021-05-30 22:45:00,&gt;@EstadaoEsporte Castroneves passa rival na penúltima volta e vence as 500 Milhas de Indianápolis https://t.co/aZpyX9SUoS,121,,False
1399131002920833024,2021-05-30 22:30:00,Condomínios vivem ‘segunda onda’ de litígios com prolongamento da pandemia https://t.co/p5ZoWqKu7K https://t.co/BTsygm21oS,48,,False
1399127227632033792,2021-05-30 22:15:00,"&gt;@EstadaoPolitica Para enfrentar Bolsonaro e Lula, centro deve iniciar caminhada já; leia análise… https://t.co/Mu2h83QWwz",698,,False
1399123455891570689,2021-05-30 22:00:00,&gt;@nytimes Os adolescentes estão em crise. E seus pais também https://t.co/F9LWjmj4gP,74,,False
1399119677876588547,2021-05-30 21:45:00,Filho de Whindersson Nunes nasce prematuro: 'Que seja forte como a mãe e insistente como o pai': https://t.co/MjXb8ZbL0Y,329,,False
1399115904374349827,2021-05-30 21:30:00,"Joe Lara, ex-Tarzan da TV, morre em acidente de avião aos 58 anos: https://t.co/dsBWj7XM1k",141,,False
1399112128313835524,2021-05-30 21:15:00,Brasileiro depende mais de aplicativos para ter renda: https://t.co/y2ZHggU8TY,47,,False
1399108357995253771,2021-05-30 21:00:01,Prazo para entrega do IR acaba neste segunda-feira; tire suas dúvidas: https://t.co/PCMTEhMrDB,13,,False
1399105179472039942,2021-05-30 20:47:23,RT @Ludyniewicz: Teu próximo celular pode ficar 15% mais caro pq os chips estão em falta em todo o mundo. Fábricas de placas eletrônicas e…,0,,False
1399104578466062345,2021-05-30 20:45:00,Bruno Fratus conquista a prata na etapa de Mônaco do Circuito Mare Nostrum: https://t.co/5BFsafUMzw,77,,False
1399100803986591746,2021-05-30 20:30:00,"Bráulio Bessa, de 'Encontro com Fátima Bernardes', recebe alta após internação por covid-19: https://t.co/erWNAtaWfw",317,,False
1399097028802748418,2021-05-30 20:15:00,Osaka é multada em US$ 15 mil e será banida de Roland Garros se negar entrevistas: https://t.co/8Zm6urqKfL,30,,False
1399093256051249152,2021-05-30 20:00:00,Os benefícios do exercício moderado: https://t.co/ENJsRPqJuC,39,,False
1399089478875062273,2021-05-30 19:45:00,"Já pode se vacinar? Veja calendário em São Paulo, Rio e outras 18 cidades: https://t.co/5MHic8iRPD",44,,False
1399085703854649347,2021-05-30 19:30:00,Os pensamentos compulsivos podem levar aos transtornos alimentares: https://t.co/opNbX8Dvn8,26,,False
1399081929266376704,2021-05-30 19:15:00,Noivas da pandemia: estilistas especializados em materializar sonhos falam sobre o que mudou nos casamentos durante… https://t.co/S1LQaYrHeM,24,,False
1399078155269263361,2021-05-30 19:00:00,Basquete 3x3 do Brasil perde da França por 21 a 19 e está fora dos Jogos de Tóquio: https://t.co/tqWflh6O8s,33,,False
1399074379279917056,2021-05-30 18:45:00,"B.J. Thomas, cantor de 'Raindrops Keep Fallin' On My Head', morre aos 78 anos: https://t.co/WDG54vXbNd",137,,False
1399071359557279744,2021-05-30 18:33:00,"Conteúdo patrocinado por @GrupoCCR:

Painel do Summit Mobilidade Urbana 2021 apresentou as iniciativas da CCR pelo… https://t.co/4STZo3OTL8",7,,False
1399070605891227649,2021-05-30 18:30:00,Aliado-chave abandona Netanyahu e abre caminho para oposição formar governo em Israel: https://t.co/fCYQ4J4TkD,68,,False
1399063059872681984,2021-05-30 18:00:01,"Mari Hirata, especialista em culinária japonesa, morre aos 62 anos: https://t.co/lc5Mm2ZtyI",64,,False
1399059279865421827,2021-05-30 17:45:00,Dinheiro da corrupção financia investimentos na Saúde em SP: https://t.co/isQpJxAi37,44,,False
1399055505188851715,2021-05-30 17:30:00,Marx e Engels: biografias mostram como os amigos inseparáveis tinham personalidades muito diferentes: https://t.co/fUjmSV7UTu,121,,False
1399051730327945224,2021-05-30 17:15:00,Felicidade tem efeito dominó na saúde mental e ganha espaço em empresas: https://t.co/tV1bKqtsvT,108,,False
1399047959073882114,2021-05-30 17:00:01,Condomínios vivem ‘segunda onda’ de litígios com prolongamento da pandemia: https://t.co/1DwVhxgY1w,18,,False
