text,likes_faixa
Tremores de terra sacudiram Goma na República Democrática do Congo nesta segundafeira  assustando moradores… ,-1
O novo presidente do Equador Guillermo Lasso foi empossado nesta segundafeira  em na capital Quito A cerimô… ,-1
Novos dados sobre pesquisadores de Wuhan aumentam debate sobre origens da Covid ,0
RT  A Ericsson disse que pode obter uma fatia menor no lançamento de G da China do que sua participação no mercado de infra…,-1
Aeroportos devem ser foco para conter a variante da Índia diz infectologista ,0
Voltado para os pequenos negócios o microcrédito é um tipo de empréstimo que oferece vantagens que outros não têm… ,-1
RT  A Creditas resolveu fazer uma grande aposta fora de sua área de produtos financeiros injetando R  milhões na fabrica…,-1
RT  O Banco da Coreia do Sul informou que busca uma empresa de tecnologia para desenvolver o seu projeto de moeda digital ht…,-1
RT  Na quartafeira  um grande crash das criptomoedas eliminou cerca de US  trilhão em valor de mercado uma queda de…,-1
RT  A Petrobras anunciou nesta segundafeira  o lançamento de um programa que prevê investimentos de US  milhões até…,-1
RT  Pessoas físicas podem doar até  dos impostos Dinheiro devido pode ser direcionado a fundos sociais ,-1
RT  Diamante rosapúrpura impecável alcança recorde de US  milhões em leilão ,-1
"RT  A Comissão de Reforma e Desenvolvimento da China alertou que irá ""punir severamente"" monopólios de commodities por aval…",-1
O novo presidente do Equador Guillermo Lasso foi empossado nesta segundafeira  em na capital Quito A cerimô… ,-1
Guillermo Lasso toma posse como presidente do Equador ,0
A capital paulista registrou a menor temperatura mínima logo nas primeiras horas desta segundafeira  Segundo… ,0
Itália investiga causa de acidente com teleférico que deixou  mortos ,0
"Uma das séries mais comentadas dos últimos anos a espanhola ""La Casa de Papel"" chegará ao seu fim ainda em ",0
Oito estados americanos já vacinaram  da população contra a Covid ,0
Pazuello entendeu que cometeu um erro diz Mourão sobre ato no Rio ,0
"Por 
Apoiadores de Pazuello ouvidos pela CNN afirmam que o militar tem sido incentivado a concorrer pa… ",1
Ryanair diz que pouso foi sequestro apoiado por governo de Belarus ,0
Regata de remo atrai centenas de competidores em Veneza ,0
Pazuello mentiu muito e será reconvocado pela CPI da Pandemia diz Omar Aziz em entrevista à CNN ,1
Centenas de canoas tomaram as águas de Veneza para uma regata que comemorou o aniversário de  anos da cidade i… ,0
Bolsonaro está no Equador para acompanhar posse do presidente Guillermo Lasso ,0
No quadro CNN Poder desta segundafeira  na CNN Rádio William Waack fala sobre a quarta semana de depoimentos… ,-1
Nesta semana os senadores que compõem a CPI da Pandemia vão dedicar um único dia para analisar e votar todos os re… ,0
Brasileira é primeira latina negra a escalar Everest ,0
Como reação à CPI da Pandemia o presidente Jair Bolsonaro deve reforçar a retórica de que tem sofrido uma persegui… ,0
RT  No podcast O que Eu Faço Fernando Nakagawa e Luciana Barreto conversam com Alexandre Castelano superintendente exec…,-1
RT  Empresas devem manter modelo de trabalho híbrido Pesquisa aponta que  se sentem mais produtivos em casa ,-1
RT  A projeção do mercado financeiro para o IPCA que mede a inflação oficial do país alcançou  Com isso a expectati…,-1
RT  No ano passado a corrente de comércio brasileira soma de importações e exportações recuou  segundo levantamento…,-1
RT  As bolsas asiáticas fecharam majoritariamente em alta nesta segundafeira após demostração de recuperação da atividade…,-1
Na edição desta segundafeira  do Correspondente Médico o neurocirurgião Fernando Gomes repercute a morte do a… ,-1
O município do Rio retomou nesta segundafeira  a vacinação contra a Covid dos profissionais da área da educ… ,0
Possível infecção por cepa da Índia é investigada no Rio de Janeiro ,0
No quadro Liberdade de Opinião desta segundafeira  Sidney Rezende comenta a manifestação a favor do president… ,0
Cresce o número de mortes entre pessoas não vacinadas contra Covid ,0
RT  A pandemia fez com que uma série de empresas adotasse o trabalho remoto Se você se considera parte do time do home offi…,-1
O corredor de longa distância Zhang Xiaotao estava no grupo líder da ultramaratona na China na qual  pessoas mor… ,0
O presidente do Iraque afirmou que US  bilhões equivalentes a R  bilhões em valores estimados foram rou… ,0
Fiocruz retoma produção de vacina contra Covid amanhã  ,0
O vicepresidente Hamilton Mourão disse que a participação do exministro da Saúde Eduardo Pazuello um general da… ,0
CPI da pandemia Senadores avaliam novos depoimentos ,0
Ministro da Saúde pede conscientização à população ,0
RT  PODCAST  Nem sempre um empreendedor precisa de um grande empréstimo para abrir um negócio ou expandir seus serviços Mu…,-1
RT  A Receita Federal libera a consulta ao primeiro lote de restituições do Imposto de Renda de  nesta segundafeira …,-1
No quadro Liberdade de Opinião desta segundafeira  Alexandre Garcia avaliou a presença do exministro da Saúd… ,0
O presidente da CPI da Pandemia senador Omar Aziz PSDAM afirmou nesta segundafeira  que o exministro da… ,1
Em entrevista à CNN nesta segundafeira  o secretário de Saúde de São Paulo Edson Aparecido explicou como vã… ,0
As autoridades de Cingapura aprovaram provisoriamente um teste do bafômetro que pode detectar o novo coronavírus O… ,0
Deputados e senadores criticam Bolsonaro em ato no Rio ,1
A Índia registrou pelo menos  casos de fungo negro ou mucormicose de acordo com dados compartilhados por um… ,0
Neste episódio do E Tem Mais a médica Tânia Chaves da Sociedade Brasileira de Infectologia fala sobre os questio… ,-1
Rio de Janeiro soma  festas clandestinas interrompidas neste ano ,0
Uma série de tiroteios em massa no fim de semana deixou pelo menos  pessoas mortas e outras  feridas,0
População escolhe vacina para evitar efeito colateral ,0
Número de pessoas à espera de leitos triplica no Paraná ,0
Esquema de segurança da motociata de Bolsonaro teria custado R  mil ao Rio de Janeiro ,1
A ativista britânica do movimento Black Lives Matter Sasha Johnson está em estado crítico depois de ser baleada n… ,0
Na edição desta segundafeira  do quadro Correspondente Médico do Novo Dia o neurocirurgião Fernando Gomes re… ,-1
RT  A medida provisória que flexibiliza leis trabalhistas prevê a possibilidade de antecipar férias individuais e coletivas…,-1
"O laudo da perícia sobre MC Kevin concluiu que a morte do cantor ""teve como causa aparente um acidente"" ",0
"A pandemia de Covid está sendo perpetuada por uma ""escandalosa desigualdade"" na distribuição de vacinas disse o… ",0
O governo japonês disse que pretende vacinar até  mil pessoas por dia Mas nesta segundafeira  apenas  mil… ,0
Em Campos dos Goytacazes no norte fluminense a Secretaria Municipal de Saúde monitora a situação de um morador qu… ,1
O número de pessoas aguardando por leitos para o tratamento da Covid triplicou no mês de maio no Paraná,0
O presidente dos EUA Joe Biden receberá a família de George Floyd na Casa Branca nesta terçafeira  para marc… ,0
Em entrevista à CNN nesta segundafeira  o secretário de Saúde de São Paulo Edson Aparecido explicou como vã… ,-1
RT  Segundo levantamento feito pelo CNN Brasil Business entre os leilões que já foram realizados e os que já estão com edit…,-1
RT  Se você precisa declarar o Imposto de Renda e ainda não fez isto falta apenas  semana O prazo tanto para a entrega da…,-1
RT  A Caixa paga a segunda parcela do auxílio emergencial  para um novo grupo do Bolsa Família nesta segundafeira O pa…,-1
O presidente do comitê de relações exteriores do Parlamento britânico pediu nesta segundafeira  que todas as c… ,0
A prefeitura de São Paulo deve implementar até esta terçafeira  um novo plano de ação contra a Covid com ba… ,0
"Por 
Caso o montante seja viabilizado será o maior número de doses entregues em um único mês desde o… ",0
A Rússia acusou o Ocidente nesta segundafeira  de hipocrisia em sua resposta indignada ao desvio de um avião… ,0
"Por  
Segundo assessores palacianos manifestação no Rio de Janeiro no domingo  teve o objetivo de… ",0
Exército deve indagar Pazuello por ato governadores na CPI e mais notícias de  de maio Assista ao  Fatos Manhã ,0
Quatro capitais suspendem aplicação de imunizantes contra Covid ,0
Professores voltam a ser vacinados no Rio de Janeiro nesta segundafeira  ,0
São Paulo vai implementar barreiras sanitárias ,0
O presidente da República Jair Bolsonaro sem partido chegou ao Equador no domingo para a acompanhar a posse do… ,0
"Neste episódio do E Tem Mais Monalisa Perrone fala sobre o ""turismo da vacina"" que voltou a movimentar as agência… ",0
O diretor do Laboratório Nacional de Biossegurança de Wuhan disse à mídia chinesa que a alegação em um novo relatór… ,0
Um relatório descobriu que pesquisadores do Instituto de Virologia de Wuhan na China tiveram que ser hospitalizado… ,1
Um novo estudo publicado neste domingo  indica que cachorros podem ajudar na luta contra Covid entenda,1
The Weeknd lidera as indicações concorrendo em  categorias incluindo melhor artista melhor artista masculino e… ,0
Uma erupção vulcânica no leste da República Democrática do Congo deixou uma trilha de destruição de quase um quilôm… ,0
O céu desta quartafeira  será iluminado por dois fenômenos simultâneos um eclipse lunar total e a maior super… ,1
Em entrevista à CNN o fisioterapeuta Vinícius Maldaner da Secretaria de Saúde do Distrito Federal explicou que a… ,0
RT  Recuos seguidos nas últimas semanas já fizeram o bitcoin cair de quase  desde o pico atingido neste ano Esse movimen…,-1
Diretorgeral da Polícia Federal enviou ao Supremo Tribunal Federal STF documento que defende uma nova regulament… ,0
"O laudo da perícia sobre MC Kevin concluiu que a morte do cantor ""teve como causa aparente um acidente""",0
Em entrevista à CNN neste domingo o senador Luis Carlos Heinze PPRS suplente da Comissão Parlamentar de Inquér… ,0
À CNN Randolfe Rodrigues disse que chegou a hora de convocar alguns governadores para prestarem depoimento na CPI… ,1
RT  Só no primeiro quadrimestre deste ano o número de aquisições de startups cresceu   um recorde para o segmento http…,-1
O Instituto Butantan já arrecadou R  milhões em doações para sua nova fábrica de vacinas revelou o governador… ,1
A CNN Brasil repudia todo tipo de agressão Acreditamos na liberdade de imprensa como um dos pilares da democracia… ,1
"O nono filme da popular franquia Velozes e Furiosos chamado de ""F"" não estreia nos cinemas dos Estados Unidos at… ",0
Multa para quem desrespeitar a legislação varia de R  a R  para as pessoas físicas e chega a R … ,1
O Corinthians anunciou neste domingo  a contratação do exjogador Sylvinho como técnico do clube ,0
Israel encerrará restrições locais para conter a Covid após um programa bemsucedido de vacinação ter quase elim… ,1
Com o registro de  mortes nas últimas  horas o Brasil se aproxima de  mil vidas perdidas para a Covid… ,0
RT  O bitcoin caiu  neste domingo após a maior e mais conhecida criptomoeda do mundo ter sofrido outra liquidação que a…,-1
O Grêmio empatou com o Inter neste domingo  por  a  e levou o Gauchão pelo quarto ano consecutivo,0
Queiroga entrega  mil testes pra Covid ao Maranhão ,0
O ministro da Saúde afirmou neste domingo  em visita ao estado do Maranhão que é necessário que a população s… ,0
O São Paulo venceu o Palmeiras por  x  na final do Campeonato Paulista neste domingo  e quebrou um jejum de … ,0
"RT  Uma joia de  quilates apelidada de ""A Sakura"" arrecadou US  milhões o equivalente a pouco mais de R  mi…",-1
